


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.8150           16885.230         1.8200           17004.910         1.8250           17123.850
         1.8300           17242.200         1.8350           17359.900         1.8400           17476.920
         1.8450           17593.250         1.8500           17708.900         1.8550           17823.870
         1.8600           17938.110         1.8650           18051.720         1.8700           18164.730
         1.8750           18277.040         1.8800           18388.620         1.8850           18499.480
         1.8900           18609.720         1.8950           18719.290         1.9000           18828.180
         1.9050           18936.400         1.9100           19043.940         1.9150           19150.790
         1.9200           19256.950         1.9250           19362.470         1.9300           19467.390
         1.9350           19571.500         1.9400           19674.940         1.9450           19777.780
         1.9500           19880.020         1.9550           19981.570         1.9600           20082.280
         1.9650           20182.420         1.9700           20281.990         1.9750           20380.870
         1.9800           20479.030         1.9850           20576.490         1.9900           20673.300
         1.9950           20769.530         2.0000           20865.130         2.0050           20959.980
         2.0100           21054.190         2.0150           21147.810         2.0200           21240.850
         2.0250           21333.240         2.0300           21424.850         2.0350           21515.810
         2.0400           21606.240         2.0450           21695.990         2.0500           21785.080
         2.0550           21873.540         2.0600           21961.380         2.0650           22048.650
         2.0700           22135.320         2.0750           22221.290         2.0800           22306.670
         2.0850           22391.440         2.0900           22475.590         2.0950           22559.120
1
         2.1000           22642.010         2.1050           22724.290         2.1100           22806.010
         2.1150           22887.210         2.1200           22967.810         2.1250           23047.690
         2.1300           23126.430         2.1350           23204.360         2.1400           23281.380
         2.1450           23357.510         2.1500           23432.750         2.1550           23507.110
         2.1600           23580.590         2.1650           23653.210         2.1700           23724.980
         2.1750           23795.900         2.1800           23865.980         2.1850           23935.230
         2.1900           24003.660         2.1950           24071.280         2.2000           24138.090
         2.2050           24204.110         2.2100           24269.340         2.2150           24333.790
         2.2200           24397.460         2.2250           24460.370         2.2300           24522.530
         2.2350           24583.930         2.2400           24644.600         2.2450           24704.540
         2.2500           24763.740         2.2550           24822.240         2.2600           24880.020
         2.2650           24937.100         2.2700           24993.490         2.2750           25049.190
         2.2800           25104.220         2.2850           25158.570         2.2900           25212.250
         2.2950           25265.280         2.3000           25317.660         2.3050           25369.400
         2.3100           25420.500         2.3150           25470.980         2.3200           25520.830
         2.3250           25570.070         2.3300           25618.700         2.3350           25666.730
         2.3400           25714.170         2.3450           25761.020         2.3500           25807.290
         2.3550           25852.980         2.3600           25898.110         2.3650           25942.680
         2.3700           25986.690         2.3750           26030.160         2.3800           26073.080
         2.3850           26115.470         2.3900           26157.330         2.3950           26198.660
         2.4000           26239.480         2.4050           26279.790         2.4100           26319.590
         2.4150           26358.890         2.4200           26397.710         2.4250           26436.030
         2.4300           26473.870         2.4350           26511.230         2.4400           26548.130
         2.4450           26584.560         2.4500           26620.530         2.4550           26656.050
         2.4600           26691.120         2.4650           26725.740         2.4700           26759.930
         2.4750           26793.680         2.4800           26827.010         2.4850           26859.910
         2.4900           26892.400         2.4950           26924.480         2.5000           26956.150
         2.5050           26987.410         2.5100           27018.280         2.5150           27048.760
         2.5200           27078.840         2.5250           27108.550         2.5300           27137.880
         2.5350           27166.830         2.5400           27195.410         2.5450           27223.630
         2.5500           27251.480         2.5550           27278.990         2.5600           27306.130
         2.5650           27332.940         2.5700           27359.400         2.5750           27385.520
         2.5800           27411.300         2.5850           27436.760         2.5900           27461.890
         2.5950           27486.700         2.6000           27511.180         2.6050           27535.360
         2.6100           27559.220         2.6150           27582.770         2.6200           27606.030
         2.6250           27628.980         2.6300           27651.640         2.6350           27674.010
         2.6400           27696.080         2.6450           27717.880         2.6500           27739.390
         2.6550           27760.630         2.6600           27781.590         2.6650           27802.280
         2.6700           27822.700         2.6750           27842.860         2.6800           27862.760
         2.6850           27882.400         2.6900           27901.790         2.6950           27920.920
         2.7000           27939.810         2.7050           27958.460         2.7100           27976.860
         2.7150           27995.020         2.7200           28012.950         2.7250           28030.650
         2.7300           28048.110         2.7350           28065.350         2.7400           28082.370
         2.7450           28099.170         2.7500           28115.740         2.7550           28132.110
         2.7600           28148.250         2.7650           28164.190         2.7700           28179.930
1
         2.7750           28195.450         2.7800           28210.780         2.7850           28225.900
         2.7900           28240.830         2.7950           28255.570         2.8000           28270.110
         2.8050           28284.460         2.8100           28298.630         2.8150           28312.610
         2.8200           28326.410         2.8250           28340.030         2.8300           28353.470
         2.8350           28366.740         2.8400           28379.830         2.8450           28392.750
         2.8500           28405.500         2.8550           28418.090         2.8600           28430.510
         2.8650           28442.770         2.8700           28454.870         2.8750           28466.810
         2.8800           28478.600         2.8850           28490.230         2.8900           28501.710
         2.8950           28513.040         2.9000           28524.220         2.9050           28535.260
         2.9100           28546.140         2.9150           28556.890         2.9200           28567.500
         2.9250           28577.970         2.9300           28588.300         2.9350           28598.490
         2.9400           28608.550         2.9450           28618.480         2.9500           28628.280
         2.9550           28637.950         2.9600           28647.500         2.9650           28656.920
         2.9700           28666.210         2.9750           28675.390         2.9800           28684.440
         2.9850           28693.370         2.9900           28702.190         2.9950           28710.890
         3.0000           28719.480         3.0050           28727.950         3.0100           28736.310
         3.0150           28744.570         3.0200           28752.710         3.0250           28760.750
         3.0300           28768.680         3.0350           28776.510         3.0400           28784.230
         3.0450           28791.860         3.0500           28799.380         3.0550           28806.800
         3.0600           28814.130         3.0650           28821.360         3.0700           28828.490
         3.0750           28835.530         3.0800           28842.480         3.0850           28849.340
         3.0900           28856.110         3.0950           28862.780         3.1000           28869.370
         3.1050           28875.880         3.1100           28882.290         3.1150           28888.620
         3.1200           28894.870         3.1250           28901.040         3.1300           28907.130
         3.1350           28913.130         3.1400           28919.060         3.1450           28924.900
         3.1500           28930.670         3.1550           28936.370         3.1600           28941.990
         3.1650           28947.540         3.1700           28953.010         3.1750           28958.410
         3.1800           28963.740         3.1850           28969.000         3.1900           28974.190
         3.1950           28979.310         3.2000           28984.360         3.2050           28989.350
         3.2100           28994.270         3.2150           28999.120         3.2200           29003.910
         3.2250           29008.640         3.2300           29013.310         3.2350           29017.910
         3.2400           29022.460         3.2450           29026.940         3.2500           29031.370
         3.2550           29035.730         3.2600           29040.040         3.2650           29044.290
         3.2700           29048.490         3.2750           29052.630         3.2800           29056.710
         3.2850           29060.740         3.2900           29064.720         3.2950           29068.650
         3.3000           29072.520         3.3050           29076.340         3.3100           29080.120
         3.3150           29083.840         3.3200           29087.510         3.3250           29091.130
         3.3300           29094.710         3.3350           29098.240         3.3400           29101.720
         3.3450           29105.160         3.3500           29108.550         3.3550           29111.900
         3.3600           29115.200         3.3650           29118.460         3.3700           29121.670
         3.3750           29124.840         3.3800           29127.970         3.3850           29131.060
         3.3900           29134.110         3.3950           29137.120         3.4000           29140.090
